Loaded parameters to layer 'conv1' (shape 50x4x3x3).
Loaded parameters to layer 'conv1' (shape 50).
Loaded parameters to layer 'conv2' (shape 50x50x3x3).
Loaded parameters to layer 'conv2' (shape 50).
Loaded parameters to layer 'nin1' (shape 30x50x1x1).
Loaded parameters to layer 'nin1' (shape 30).
Loaded parameters to layer 'conv3' (shape 50x30x3x3).
Loaded parameters to layer 'conv3' (shape 50).
Loaded parameters to layer 'conv4' (shape 50x50x3x3).
Loaded parameters to layer 'conv4' (shape 50).
Loaded parameters to layer 'nin2' (shape 30x50x1x1).
Loaded parameters to layer 'nin2' (shape 30).
Loaded parameters to layer 'conv5' (shape 50x30x3x3).
Loaded parameters to layer 'conv5' (shape 50).
Loaded parameters to layer 'output' (shape 450x1024).
Loaded parameters to layer 'output' (shape 1024).
# Neural Network with 538934 learnable parameters

## Layer information

  #  name    size
---  ------  --------
  0  input   4x32x32
  1  conv1   50x30x30
  2  conv2   50x28x28
  3  nin1    30x28x28
  4  pool1   30x14x14
  5  conv3   50x12x12
  6  conv4   50x10x10
  7  nin2    30x10x10
  8  pool2   30x5x5
  9  conv5   50x3x3
 10  output  1024

  epoch    trn loss    val loss    trn/val  dur
-------  ----------  ----------  ---------  -----
      1     [36m0.26060[0m     [32m0.26893[0m    0.96904  2.92s
      2     [36m0.25703[0m     [32m0.21891[0m    1.17412  13.49s
      3     [36m0.25531[0m     0.23462    1.08817  2.64s
      4     0.25571     0.23973    1.06667  2.28s
      5     0.25698     0.28249    0.90970  2.31s
      6     0.25735     0.22302    1.15390  2.74s
      7     [36m0.24833[0m     0.25230    0.98425  2.24s
      8     0.25323     0.24119    1.04991  2.32s
      9     0.25103     0.25950    0.96736  2.25s
     10     0.25392     0.22606    1.12324  2.28s
     11     [36m0.24535[0m     0.27549    0.89059  2.23s
     12     0.24877     0.26381    0.94298  2.27s
     13     0.24944     0.25902    0.96300  2.36s
     14     0.25199     0.25677    0.98139  2.22s
     15     0.25082     [32m0.21732[0m    1.15414  2.23s
     16     0.25120     0.25416    0.98834  3.04s
     17     0.24679     0.23023    1.07192  2.23s
     18     0.25001     [32m0.21560[0m    1.15963  2.38s
     19     0.24746     0.24780    0.99865  2.51s
     20     0.24828     0.24510    1.01295  2.51s
     21     0.25676     0.24646    1.04176  2.27s
     22     0.25002     0.24841    1.00650  2.26s
     23     0.25151     0.23883    1.05310  2.31s
     24     0.24989     0.24474    1.02107  2.28s
     25     0.25457     0.23134    1.10040  2.40s
     26     0.25270     0.27127    0.93154  2.22s
     27     0.24985     0.31344    0.79713  2.31s
     28     0.24792     0.25216    0.98319  2.23s
     29     0.24801     0.26739    0.92753  2.24s
     30     [36m0.24240[0m     0.23836    1.01698  2.27s
     31     0.25538     0.25021    1.02068  2.35s
     32     0.24427     0.24723    0.98802  2.30s
     33     [36m0.24144[0m     0.28646    0.84285  2.29s
     34     0.24330     0.24756    0.98282  2.26s
     35     0.24337     0.23049    1.05587  2.26s
     36     0.24771     0.25809    0.95976  2.55s
     37     0.24715     0.22589    1.09412  2.25s
     38     0.24533     0.23913    1.02596  2.27s
     39     0.24609     0.22990    1.07041  2.27s
     40     0.24500     0.24670    0.99308  2.30s
     41     0.24224     0.23925    1.01250  2.28s
     42     0.24309     0.25595    0.94976  2.32s
     43     0.24464     0.24174    1.01200  2.28s
     44     0.24510     0.24198    1.01292  2.43s
     45     0.24276     [32m0.21254[0m    1.14218  2.43s
     46     0.24730     0.23606    1.04762  2.29s
     47     0.25003     0.25138    0.99466  2.25s
     48     0.24398     0.24842    0.98214  2.23s
     49     [36m0.24106[0m     0.26430    0.91204  2.27s
     50     0.24965     0.23643    1.05590  2.25s
     51     0.24226     0.23340    1.03795  2.26s
     52     0.24662     0.28019    0.88018  2.27s
     53     0.24628     0.28250    0.87178  2.25s
     54     0.24624     0.26564    0.92696  2.29s
     55     0.24476     0.25884    0.94558  2.27s
     56     0.24668     0.23373    1.05543  2.30s
     57     0.24452     0.27114    0.90182  2.28s
     58     0.24549     0.22858    1.07396  2.27s
     59     [36m0.23984[0m     0.23892    1.00386  2.52s
     60     0.25142     0.22314    1.12671  2.25s
     61     0.25131     0.21675    1.15943  2.23s
     62     0.24814     0.24285    1.02181  2.27s
     63     0.24583     0.22478    1.09366  2.25s
     64     0.24640     0.26019    0.94699  2.25s
     65     0.24553     0.23968    1.02440  2.23s
     66     0.25252     0.23696    1.06568  2.27s
     67     0.24804     0.23946    1.03581  2.27s
     68     0.25105     0.23508    1.06792  2.26s
     69     0.24155     0.23053    1.04780  2.25s
     70     0.24664     0.23434    1.05248  2.26s
     71     0.24914     0.24897    1.00067  2.28s
     72     0.24662     0.22561    1.09313  2.29s
     73     0.24569     0.23309    1.05407  2.38s
     74     0.24498     0.24845    0.98603  2.29s
     75     0.24482     0.25904    0.94513  2.29s
     76     0.24383     0.24911    0.97880  2.32s
     77     0.24298     0.24867    0.97712  2.29s
     78     0.24238     0.23914    1.01355  2.26s
     79     0.24191     0.25202    0.95988  2.28s
     80     0.24655     0.27910    0.88339  2.25s
     81     0.24991     0.22575    1.10706  2.26s
     82     0.25174     0.22987    1.09515  2.27s
     83     0.24523     0.23128    1.06029  2.32s
     84     0.24701     0.25766    0.95865  2.29s
     85     0.24631     0.25000    0.98524  2.27s
     86     0.24187     0.24399    0.99130  2.22s
     87     0.24476     0.24447    1.00120  2.27s
     88     0.24556     0.24004    1.02302  2.24s
     89     0.24175     0.24440    0.98916  2.29s
     90     0.24350     0.25614    0.95064  2.24s
     91     0.24081     0.26465    0.90991  2.23s
     92     0.24570     0.22399    1.09697  2.22s
     93     0.24579     0.26230    0.93709  2.26s
     94     [36m0.23868[0m     0.26036    0.91671  2.33s
     95     0.24484     0.25403    0.96383  2.30s
     96     0.24085     0.23881    1.00855  2.24s
     97     0.24513     0.24205    1.01274  2.25s
     98     0.24601     0.24148    1.01876  2.25s
     99     0.24707     0.22682    1.08926  2.28s
    100     0.24425     0.22010    1.10969  2.28s
    101     0.24893     0.25630    0.97124  2.29s
    102     0.24142     0.23097    1.04523  2.27s
    103     0.24941     0.25530    0.97693  2.27s
    104     0.24974     0.25830    0.96687  2.28s
    105     0.23901     0.27065    0.88310  2.26s
    106     0.24450     0.23419    1.04402  2.27s
    107     0.24691     0.24918    0.99090  2.27s
    108     0.25269     0.23438    1.07813  2.26s
    109     0.24706     0.22785    1.08431  2.32s
    110     0.24116     0.21291    1.13265  2.23s
    111     0.24021     0.24759    0.97019  2.26s
    112     0.23910     0.22521    1.06168  2.30s
    113     0.24059     0.26156    0.91984  2.25s
    114     0.24442     0.23817    1.02624  2.23s
    115     0.24229     0.26717    0.90686  2.24s
    116     0.24644     0.23023    1.07038  2.25s
    117     0.24521     0.23532    1.04203  2.25s
    118     0.24793     0.22770    1.08882  2.32s
    119     0.24489     0.23873    1.02580  2.28s
    120     0.24598     0.23705    1.03764  2.24s
    121     0.24442     0.26079    0.93722  2.30s
    122     0.24295     0.23862    1.01813  2.28s
    123     0.24369     0.27831    0.87561  2.22s
    124     0.24624     0.29343    0.83919  2.29s
    125     0.25087     0.24518    1.02318  2.23s
    126     0.24169     0.22323    1.08274  2.29s
    127     0.24298     0.25527    0.95186  2.24s
    128     0.24141     0.26196    0.92156  2.23s
    129     0.24270     0.22125    1.09693  2.23s
    130     0.24144     0.25202    0.95801  2.28s
    131     [36m0.23603[0m     0.23274    1.01413  2.26s
    132     0.24355     0.22277    1.09331  2.27s
    133     0.24161     0.22988    1.05101  2.26s
    134     0.24748     0.24054    1.02883  2.29s
    135     0.24344     0.25437    0.95703  2.25s
    136     0.24704     0.23561    1.04850  2.26s
    137     0.24038     0.23793    1.01029  2.37s
    138     0.23756     0.23319    1.01874  2.27s
    139     0.24010     0.22028    1.08998  2.27s
    140     0.24276     0.24532    0.98955  2.26s
    141     0.24263     0.23752    1.02154  2.32s
    142     0.23956     0.22594    1.06030  3.10s
    143     0.24185     0.24672    0.98026  2.33s
    144     0.23900     0.24487    0.97603  2.23s
    145     0.24220     0.23826    1.01651  2.23s
    146     0.24156     0.24023    1.00555  2.26s
    147     0.24140     0.24468    0.98663  2.26s
    148     0.23947     0.22044    1.08629  2.29s
    149     0.24463     0.22810    1.07248  2.28s
    150     0.24538     0.24703    0.99332  2.30s
    151     0.24247     0.22408    1.08205  2.24s
    152     0.24108     0.25158    0.95826  2.28s
    153     [36m0.23437[0m     0.22459    1.04358  2.37s
    154     0.24343     0.24458    0.99528  2.25s
    155     0.24603     [32m0.19316[0m    1.27371  2.28s
    156     0.23888     0.24976    0.95641  2.26s
    157     0.24249     0.24823    0.97688  2.28s
    158     0.24527     0.23255    1.05467  2.22s
    159     0.23824     0.24976    0.95388  2.28s
    160     0.23703     0.22166    1.06933  2.31s
    161     0.23929     0.26770    0.89387  2.25s
    162     0.23844     0.22809    1.04535  2.27s
    163     0.24230     0.23957    1.01136  2.24s
    164     0.23635     0.23537    1.00420  2.27s
    165     0.23865     0.21256    1.12272  2.27s
    166     0.23641     0.23770    0.99456  2.29s
    167     0.24312     0.25706    0.94579  2.25s
    168     0.24295     0.23877    1.01751  2.28s
    169     0.24392     0.20201    1.20748  2.31s
    170     0.24537     0.20989    1.16904  2.37s
    171     0.24745     0.21234    1.16535  2.26s
    172     0.23896     0.25027    0.95480  2.26s
    173     0.24451     0.25262    0.96792  2.26s
    174     0.24399     0.24108    1.01207  2.26s
    175     0.23667     0.24299    0.97397  2.28s
    176     0.23606     0.23776    0.99285  2.29s
    177     0.24310     0.23845    1.01950  2.26s
    178     0.23575     0.21419    1.10065  2.26s
    179     0.24113     0.23802    1.01308  2.28s
    180     0.24155     0.24685    0.97852  2.26s
    181     0.24149     0.24361    0.99130  2.25s
    182     0.23581     0.23926    0.98559  2.27s
    183     0.24414     0.21956    1.11196  2.26s
    184     0.24687     0.25798    0.95693  2.22s
    185     0.24757     0.26815    0.92326  2.24s
    186     0.23892     0.23469    1.01802  2.32s
    187     0.24230     0.22519    1.07597  2.27s
    188     0.24113     0.25954    0.92907  2.22s
    189     0.23967     0.24373    0.98334  2.23s
    190     0.23902     0.24812    0.96333  2.24s
    191     0.24086     0.23846    1.01008  2.38s
    192     0.24223     0.24640    0.98308  2.27s
    193     0.24034     0.24623    0.97605  2.26s
    194     [36m0.23408[0m     0.26248    0.89178  2.28s
    195     0.23625     0.23130    1.02142  2.27s
    196     0.23946     0.22407    1.06865  2.27s
    197     0.24406     0.24847    0.98226  2.29s
    198     0.23896     0.24971    0.95697  2.25s
    199     0.24008     0.24605    0.97573  2.27s
    200     0.23922     0.22945    1.04256  2.26s
    201     0.23794     0.24849    0.95754  2.32s
    202     0.23834     0.24174    0.98593  2.27s
    203     0.24169     0.22833    1.05849  2.26s
    204     0.23998     0.24141    0.99406  2.69s
    205     0.24586     0.21781    1.12876  2.29s
    206     0.24646     0.20480    1.20341  2.28s
    207     0.24009     0.23001    1.04380  2.24s
    208     0.24316     0.28103    0.86526  2.24s
    209     0.23952     0.25757    0.92993  2.22s
    210     0.23619     0.23986    0.98469  2.24s
    211     0.24788     0.22495    1.10195  2.27s
    212     0.24122     0.24097    1.00104  2.28s
    213     0.24260     0.22264    1.08964  2.27s
    214     [36m0.23385[0m     0.24352    0.96028  2.25s
    215     0.24618     0.23563    1.04477  2.37s
    216     0.24651     0.24213    1.01810  2.28s
    217     0.23909     0.23581    1.01391  2.25s
    218     0.24472     0.27205    0.89952  2.25s
    219     0.24448     0.25211    0.96973  2.27s
    220     0.23755     0.26419    0.89916  2.23s
    221     0.23552     0.27668    0.85124  2.22s
    222     0.24021     0.24374    0.98554  2.23s
    223     0.24078     0.26105    0.92236  2.23s
    224     0.23625     0.24128    0.97917  2.23s
    225     0.24253     0.26697    0.90845  2.25s
    226     0.24187     0.25949    0.93212  2.31s
    227     0.23529     0.23066    1.02008  2.27s
    228     0.24297     0.25857    0.93966  2.26s
    229     0.23990     0.22186    1.08131  2.26s
    230     0.25078     0.22285    1.12533  2.28s
    231     0.23446     0.23649    0.99144  2.24s
    232     0.24088     0.26835    0.89762  2.28s
    233     0.23934     0.24111    0.99267  2.26s
    234     0.23408     0.24682    0.94839  2.26s
    235     0.24220     0.24692    0.98087  2.29s
    236     0.23556     0.24188    0.97389  2.28s
    237     0.24054     0.24316    0.98924  2.30s
    238     0.24390     0.23913    1.01993  2.27s
    239     0.23974     0.21596    1.11013  2.30s
    240     0.23652     0.25345    0.93318  2.24s
    241     0.23555     0.25065    0.93979  2.25s
    242     0.24024     0.24856    0.96653  2.27s
    243     0.24352     0.23649    1.02975  2.32s
    244     0.23981     0.22690    1.05691  2.25s
    245     0.23843     0.24690    0.96571  2.24s
    246     0.23889     0.25748    0.92781  2.24s
    247     0.23877     0.24305    0.98241  2.23s
    248     0.24087     0.22715    1.06040  2.30s
    249     0.24541     0.21641    1.13401  2.27s
    250     0.24074     0.24162    0.99635  2.25s
    251     [36m0.23198[0m     0.23647    0.98100  2.42s
